actor_name,birth_year,know_for,actor_role,actor_awards
Carrie Coon,1981,"Vengadores: Infinity War, Cazafantasmas: Más allá","Reparto,  Producción,  Efectos visuales","Academy of Science Fiction, Fantasy & Horror Films, USA, British Independent Film Awards"
Finn Wolfhard,2002,"Cazafantasmas: Más allá, Stranger Things","Reparto,  Dirección,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Fantasia Film Festival"
Mckenna Grace,2006,"El cuento de la criada, Yo, Tonya","Reparto,  Producción,  Equipos adicionales","Critics Choice Awards, Primetime Emmy Awards"
Kumail Nanjiani,1978,"Como la vida misma, Stuber Express","Reparto,  Guion,  Producción","Academy Awards, USA, BAFTA Awards"
Jack Black,1969,"Alta fidelidad, Super Nacho","Reparto,  Producción,  Guion","American Comedy Awards, USA, Annie Awards"
Awkwafina,1988,"Crazy Rich Asians, The Farewell","Reparto,  Guion,  Producción","Academy of Science Fiction, Fantasy & Horror Films, USA, BAFTA Awards"
Viola Davis,1965,"Criadas y señoras, La mujer rey","Reparto,  Producción,  Banda sonora","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Dustin Hoffman,1937,"Rain Man, Kramer contra Kramer","Reparto,  Producción,  Dirección","Academy Awards, USA, American Film Institute, USA"
Bryan Cranston,1956,"Malcolm, Argo","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Lindsay Lohan,1986,"Chicas malas, Ponte en mi lugar","Reparto,  Producción,  Música","Academy of Science Fiction, Fantasy & Horror Films, USA, Blockbuster Entertainment Awards"
Ed Speleers,1988,"You, Downton Abbey","Reparto,  Producción,  Equipo ejecutivo","Academy of Science Fiction, Fantasy & Horror Films, USA, BAFTA Awards"
Alexander Vlahos,1988,"Lola, ""Its My Shout: Short Films from Wales""","Reparto,  Dirección,  Guion","International Film Festival of Wales, Manchester International Film Festival (MANIFF)"
Ayesha Curry,1989,"Gary Unmarried, Love for Sale","Reparto,  Producción,  Equipo ejecutivo",None
Elizabeth Tan,none,"Un deseo irlandés, Emily en París","Reparto,  Producción",None
Amy Poehler,1971,"Mamá de alquiler, Parks and Recreation","Reparto,  Producción,  Guion","American Comedy Awards, USA, Annie Awards"
Maya Hawke,1998,"La calle del terror - Parte 1: 1994, Del revés 2","Reparto,  Música,  Composición","Academy of Science Fiction, Fantasy & Horror Films, USA, MTV Movie + TV Awards"
Kensington Tallman,2008,"Home Sweet Rome, That Girl Lay Lay","Reparto,  Guion,  Equipos adicionales","Conocido/a por, Más de esta persona"
