actor_name,birth_year,known_for,actor_role,actor_awards
Burak Kut,none,"Tozkoparan, Poyraz Karayel: Küresel Sermaye","Reparto,  Composición,  Banda sonora",None
Virgile Mangiavillano,none,"Menajerimi Ara, Gülcemal","Reparto,  Producción",None
Rastin Paknahad,none,"Tas Kagit Makas, Afacanlar Kampta",Reparto,None
Berat Efe Parlar,none,"Güldüy Güldüy Show Çocuk, Por mi hijo","Reparto,  Música,  Banda sonora","Sadri Alisik Theatre and Cinema Awards, Pantene Golden Butterfly Awards"
Mathew Thomas,2002,"Kumbalangi Nights, Thanneer Mathan Dhinangal",Reparto,Vanitha Film Awards
Anikha Surendran,2004,"Yennai Arindhaal, Deep Bay of Bengal",Reparto,Asianet Film Awards
Priya Prakash Varrier,1999,"Yaariyan 2, Check","Reparto,  Música",International Iconic Awards
Rabiya Khatoon,none,,Reparto,None
V S Prince Ratan,none,"Really Main Deewana Ho Gaya, Ek Anokhi Rakshak Naagkanya",Reparto,None
Empoy Marquez,none,"Kita kita, Ang probinsyano",Reparto,"FAP Awards, Philippines, Gawad Urian Awards"
Yanyan De Jesus,none,"Ang lihim ni Mayor Manalo, EAT...",Reparto,None
Kim Molina,none,"#WalangForever, Ang babaeng walang pakiramdam","Reparto,  Guion y continuidad,  Banda sonora","Gawad Urian Awards, Metro Manila Film Festival"
Anjo Yllana,none,"Dino... Abangan ang susunod na..., Abangan ang susunod na kabanata","Reparto,  Dirección,  Banda sonora",Gawad Urian Awards
Shirley Fuentes,none,"Tomboy: The Movie, Dear Diary",Reparto,None
Gaja,none,,Reparto,None
Seerunde Raghu,none,"Online Madhuve Offline Shobana, Ranaksha",Reparto,None
Jagadish Kumar S,none,Online Madhuve Offline Shobana,Reparto,None
Sushmitha Sonu,none,,Reparto,None
Blerim Destani,1981,"El último gran día, Etjet e Kosovës","Reparto,  Producción,  Guion",CinEuphoria Awards
Noizy,none,"Noizy Feat. Elgit Doda: Ti Ti, Predz UK - Naughty Naughty","Reparto,  Composición,  Guion",None
Arben Bajraktaraj,1973,"Harry Potter y las Reliquias de la Muerte: Parte 1, Harry Potter y la Orden del Fénix","Reparto,  Producción","MTV Movie + TV Awards, Sarajevo Film Festival"
Flonja Kodheli,none,"Helvetica, Ka Me Kalu","Reparto,  Composición,  Dirección",None
James Biberi,none,"Dead Man Down, Los productores","Reparto,  Producción,  Guion",Hermosa Beach Film Festival
Chen Bo-lin,1983,"Tai bei piao xue, My Airhostess Roommate","Reparto,  Música,  Equipo ejecutivo","Golden Horse Film Festival, Monaco International Film Festival"
Kent Tsai,1997,"Tong Ling Shao Nv, Hei de jiào yù",Reparto,"Golden Horse Film Festival, Taipei Film Festival"
J.C. Lin,1991,"Wo men yu e de ju li, Demon Hunters",Reparto,"Golden Bell Awards, Taiwan, Film Fest International, Nice"
Frederick Ming Zhong Lee,1976,"Tai wan fan zui gu shi, Fly By Night",Reparto,"Taipei Film Festival, Malaysian Film Festival"
Cecilia Choi,none,"Fan xiao, Twilight of the Warriors: Walled In",Reparto,"Hong Kong Film Awards, Hong Kong Film Critics Society Awards"
Sasha Srbulj,none,Root for the Wind,"Reparto,  Guion,  Composición",None
Vibha Chhibber,none,"Mrs. Kaushik Ki Paanch Bahuein, Chak De! India",Reparto,"Indian Telly Awards, Zee Rishtey Awards"
Vivek Gera,none,,"Reparto,  Guion",None
Brijendra Kala,none,"Zero, Sherni","Reparto,  Guion","Screen Awards, IN, FOI Online Awards"
Vijay Kaushik,none,"Shamshera, Madaari",Reparto,None
Mushtaq Khan,1969,"Hera Pheri, Wanted","Reparto,  Sonido",Lions Gold Awards
James Ciccone,none,"Joker, El irlandés","Reparto,  Dirección,  Guion",None
Miranda Nieman,none,"Bulletproof Jesus, Free to a Bad Home",Reparto,Something Wicked Film Festival
Belén Cusi,none,,"Reparto,  Producción",None
Alexander Mannara,none,"Perfect Match, La conjura contra América",Reparto,None
Ruth Aguilar,none,"Jessica Jones, The Blacklist",Reparto,None
Michael Bellow,none,,Reparto,None
Jonah Brann,none,,Reparto,None
Blane Craig,none,,Reparto,None
Luke Housos,none,,Reparto,None
Jjof2008,none,,Reparto,None
Affion Crockett,none,"""Wild N Out"", Paranormal movie 2","Reparto,  Guion,  Producción",Acapulco Black Film Festival
Damaine Radcliff,none,"Rambo: Last Blood, Bailando","Dirección,  Producción,  Reparto","SeriesFest, Athens International Monthly Art Film Festival"
John O. Nelson,1968,"Hitch: Especialista en ligues, Mirror II Society: Affion Crockett","Reparto,  Dirección,  Producción",None
Jevin Smith,none,"Los inquilinos, The Troll","Reparto,  Dirección,  Dirección de fotografía y cámara",None
Lil Rel Howery,1979,"Poker Face, Déjame salir","Reparto,  Guion,  Producción","Image Awards (NAACP), MTV Movie + TV Awards"
Bing Jia,none,"Sou jiu, Bei er xi huan ni",Reparto,Macau International Movie Festival
Zhuo Tan,none,"Wo bu shi yao shen, Dui shou",Reparto,"Golden Rooster Awards, Hundred Flowers Awards"
Shenyang Xiao,1981,"Xi you ji zhi: Sun Wukong san da Baigu Jing, The Way of the Bug","Reparto,  Dirección",None
Yang Yu,none,"Po ma zhang fei, Tian ma",Reparto,None
Baoshi Dong,none,"Mo lu kuang hua qian, Li gong: Dong Bei jiu shi","Reparto,  Música,  Banda sonora",None
Gippy Grewal,1983,"Jatt James Bond, Manje Bistre","Reparto,  Producción,  Guion","Zee Cine Awards, PTC Punjabi Film Awards"
Sargun Mehta,1988,"Lahoriye, Angrej","Producción,  Guion,  Reparto","Indian Television Academy Awards, India, PTC Punjabi Film Awards"
Roopi Gill,none,"Parinda Paar Geyaa, Ashke",Reparto,PTC Punjabi Film Awards
Nirmal Rishi,none,"Nikka Zaildar 2, Lahoriye","Reparto,  Guion,  Casting",Filmfare Awards Punjabi
B.N. Sharma,none,"Gadar: Ek Prem Katha, Parchhaven",Reparto,None
Gippy Grewal,1983,"Jatt James Bond, Manje Bistre","Reparto,  Producción,  Guion","Zee Cine Awards, PTC Punjabi Film Awards"
Shinda Grewal,none,"Ardaas Karaan, Faraar",Reparto,None
Hina Khan,1987,"Damaged 2, Kasautii Zindagii Kay","Reparto,  Música","Apsara Film Producers Guild Awards, Indian Television Academy Awards, India"
Prince Kanwaljit Singh,none,"Ik Sandhu Hunda Si, Jatt Boys Putt Jattan De","Reparto,  Guion,  Dirección",None
Nirmal Rishi,none,"Nikka Zaildar 2, Lahoriye","Reparto,  Guion,  Casting",Filmfare Awards Punjabi
Apirat Arrayayan,none,,None,None
Elisabeth Bellé,none,Wenn das fünfte Lichtlein brennt,Reparto,None
Lale Andrä,none,"Spuk unterm Riesenrad, In aller Freundschaft","Reparto,  Banda sonora",None
Noèl Gabriel Kipp,none,,Reparto,None
Sophie Lutz,1982,"En el lugar del crimen, Hanne",Reparto,None
Katja Preuß,none,"Besser als nix, Der schwarze Nazi",Reparto,None
Jon Bass,1986,"""Mollys Game"", Loving","Reparto,  Producción,  Dirección","Conocido/a por, Más de esta persona"
Steve Buscemi,1957,"Ghost World, Reservoir Dogs","Reparto,  Dirección,  Producción","Academy of Science Fiction, Fantasy & Horror Films, USA, American Comedy Awards, USA"
Mary Wiseman,1985,"Historia de un matrimonio, Baskets","Reparto,  Banda sonora",IGN Summer Movie Awards
Rosaline Elbay,none,"Ramy, Qabeel","Reparto,  Guion,  Producción",None
Dario Ladani Sanchez,none,"The Life List, Carole & Grey","Reparto,  Producción",Indie Shorts Awards New York
Indra Burkovska,none,"Pastkarte no Romas, Bedre",Reparto,"Latvian National Film Festival, Hellenic Film Academy Awards"
Janis Jarans,none,"Viss Norm, Jaunais Norm",Reparto,Latvian National Film Festival
Ivars Brakovskis,none,"Zeme, kas dzied, Evrey",Reparto,None
Liena Smukste,none,"Izlaiduma gads, Pastkarte no Romas",Reparto,Latvian National Film Festival
Rudolf Ming,none,"The Scent of Apples, Launuma atspulgs","Dirección,  Edición,  Guion",None
Osvaldo Benavides,1979,"María la del barrio, La suerte de Loli","Reparto,  Guion,  Producción","Premios TVyNovelas, PRODU Awards"
Isabel Fernandez,none,"Malvada, La Señal Invisible",Reparto,None
Pablo Fulgueira,none,,"Sonido,  Edición,  Dirección de la segunda unidad o asistencia a dirección",None
Marcela Guirado,none,"Cómo Sobrevivir Soltero, Soy tu fan","Reparto,  Banda sonora","Accolade Competition, New York Independent Cinema Awards"
Verónica Langer,none,"La Caridad, Miroslava","Reparto,  Producción","Ariel Awards, Mexico, Mexican Cinema Journalists"
Irina Apeksimova,1966,"Bashnya, Mu-Mu","Reparto,  Dirección",Taormina International Film Festival
Aleksandr Azyrankulov,none,"Korporatsiya Morozov, Nasledstvo",Reparto,None
Grigoriy Bagrov,1970,"Belyy tigr, Nauchnaya sektsiya pilotov",Reparto,None
