actor_name,birth_year,know_for,actor_role,actor_awards
Pietro Juliano,none,"""Lardore dei timidi"", ""Levento""","Reparto,  Dirección de producción,  Equipos adicionales",None
Annamaria Marigliano,none,Gomorrah,Reparto,None
Jonavan Adams,none,"Discarded Things, One Summer Night",Reparto,None
Ashley Nicole Blake,none,,Reparto,None
Sarah Elizabeth Combs,none,,Reparto,None
Rhett Davis,none,,Reparto,None
Sultan Omar El-Amin,none,"Another Sunrise, An Alternate Consequence",Reparto,None
Dawid Ogrodnik,1986,"Life feels good, Ida","Reparto,  Música,  Banda sonora","Berlin International Film Festival, Cinema Jove - Valencia International Film Festival"
Hugo Tarres,none,Teatr Polskiego Radia,Reparto,None
Wiktoria Koprowska,none,,Reparto,None
Ada Grodzka,none,"Piep*zyc Mickiewicza, Na sygnale",Reparto,None
Artur Gwizdak,none,,Reparto,None
Alexandra Bacaoanu,none,"2020, Northern Man: How to Make a Movie",Reparto,None
Cezar Curteanu,none,"Backwards Forward Forever, The Pact","Arte,  Reparto,  Diseño de producción",None
Silviu Geamanu,none,"El reino secreto, Despre alte mame","Reparto,  Guion",None
Adrian Ionescu,none,Tag,Reparto,None
Puiu Mircea Lascus,none,"The Pact, The Doorman",Reparto,SoHo International Film Festival
Naima Bryant,none,"""Shes God""",Reparto,None
Alena De La Rosa,none,,Reparto,None
Mozella Place,none,"The Soul That Ties Us, The Raven of Baltimore City",Reparto,None
Anthony Thomas,none,,Reparto,None
Julio Bana Fernandez,none,"Move Me No Mountain, ""For What Its Worth""","Reparto,  Producción,  Dirección de la segunda unidad o asistencia a dirección",None
Aria Walters,none,"Right Here, Right Now, This Is Us",Reparto,Indie Short Fest
Jaden Micah Wolfe,none,"Right Here, Right Now, The Colosseum","Reparto,  Producción",None
Micah Max Polaha,none,"The Whole Night, Right Here, Right Now","Reparto,  Dirección,  Guion","AltFF Alternative Film Festival, Halicarnassus Film Festival"
Riley Segal,none,The Chain that Binds,"Reparto,  Equipos adicionales",None
Brigitte Rogerson,none,"The Love We Choose, Atomic Bonds",Reparto,None
Ismail Alhassan,none,"Yesterday After Tomorrow, Alkhallat+","Reparto,  Producción",None
Ahmed Saddam,none,"Yesterday After Tomorrow, Nour Shams",Reparto,None
Naif Aldaferi,none,"Rashash, Running Dry","Reparto,  Producción",None
Summer Shesha,none,"Jameel Jeddan, Exit 5","Reparto,  Guion",None
Lana Komsany,none,,Reparto,None
Junpeng Huang,none,,Reparto,None
Yuxi Jian,none,,Reparto,None
Fang Qi,none,,Reparto,None
Ruijia Zhang,none,,Reparto,None
Dilan Çiçek Deniz,1995,"Billete al mañana, Yarim Kalan Asklar",Reparto,"Pantene Golden Butterfly Awards, Turkey Youth Awards"
Cem Yigit Uzümoglu,1994,"Karanlik Gece, Hakan, el protector","Reparto,  Producción","Antalya Golden Orange Film Festival, Turkish Film Critics Association (SIYAD) Awards"
Duygu Sarisin,1987,"Rencor, Stiletto Vendetta",Reparto,None
Firat Tanis,1975,"Mi otra yo, Adim Farah","Reparto,  Composición,  Dirección","Ankara International Film Festival, Antalya Golden Orange Film Festival"
Hakan Bilgin,none,"Recep Ivedik, Yilan Hikayesi",Reparto,None
Hilary Bowen-Walsh,none,"English Language Enthusiast, The Emerald Isle","Reparto,  Dirección,  Guion","Unrestricted View Film Festival, Killer Valley Horror Film Festival"
Brian F. Devaney,none,The Disembodied Adventures of Alice,Reparto,None
Nóra Ní Anluain Fay,none,The Disembodied Adventures of Alice,Reparto,None
Senna O'Hara,none,"The Disembodied Adventures of Alice, Ann",Reparto,None
Sara Montoya Vidal,none,,Reparto,None
Miguelo García,none,"Frente al silencio, Aquí el Paraíso","Reparto,  Producción","New York City International Film Festival, US"
Rebecca Arrosse,none,"Golpe a Golpe, Frente al silencio","Reparto,  Diseño de vestuario,  Producción","New York City International Film Festival, US"
Graciela Mier,none,"Golpe a Golpe, Principios","Reparto,  Dirección de producción,  Dirección",None
Yolanda Pardo,none,,Reparto,None
James Barrington,none,The Third Degree,Reparto,None
Kevin Sorbo,1958,"The Santa Suit, Andrómeda","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, MovieGuide Awards"
Cuba Gooding Jr.,1968,"Me llaman Radio, Estallido","Reparto,  Guion,  Producción","Academy Awards, USA, Acapulco Black Film Festival"
Tupua Ainu'u,none,"The Firing Squad, The AR Racist","Reparto,  Equipos adicionales",None
Edmund Kwan,none,"Scorpion, Lose the Labels: The 72 Hour Shootout 2016","Reparto,  Cámara y electricidad,  Dirección","Accolade Competition, 72 Hour Shootout"
Karen Abercrombie,1956,"Discarded Things, Guardianes de la Galaxia Vol. 3","Reparto,  Producción,  Guion","ICVM Crown Awards, MovieGuide Awards"
Rob Fury,1985,"Vengeance Turns: Volume One, It Wants Blood!","Reparto,  Producción,  Dirección",None
Jane John-Nwankwo,none,"Problem Deflated, Purple Roses","Producción,  Reparto,  Dirección",None
Hope Lagos,none,"El perfil de un asesino, Diamond Game","Reparto,  Equipos adicionales",None
Ryan Manuel,none,Escape the Night,"Reparto,  Producción,  Guion","Best Shorts Competition, LA Femme International Film Festival"
Karen Abercrombie,1956,"Discarded Things, Guardianes de la Galaxia Vol. 3","Reparto,  Producción,  Guion","ICVM Crown Awards, MovieGuide Awards"
Jane John-Nwankwo,none,"Problem Deflated, Purple Roses","Producción,  Reparto,  Dirección",None
John U. Nwankwo,none,"Ekpebiwo m, Finding Dr John",Reparto,None
Álvaro Barrios,none,"Donde juegan los fantasmas, Un polo de limón",Reparto,None
África de la Cruz,none,"Las cartas perdidas, Un sol salvaje",Reparto,"Spanish Actors Union, ASECAN"
Gero Mota,none,El Camino de las Bestias,Reparto,None
Esther Noya,none,"El inocente, Feria: La luz más oscura","Reparto,  Equipos adicionales,  Producción",None
Magdalena Tejado,none,"Stramonium, Mambo",Reparto,None
Steve Gamble,none,"One Week in Heaven, The Cashier",Reparto,None
Daphne Thompson,none,"Bird Hours, Redrum",Reparto,None
Jon Pivko,none,"The Project, Dark Woods","Producción,  Dirección de fotografía y cámara,  Dirección",None
Kara Bartek,none,"Oh Yeah, Pink Elephant","Producción,  Dirección de la segunda unidad o asistencia a dirección,  Dirección de producción",None
Joy Hayward,none,"Bird Hours, A Soul Frame",Reparto,None
Hok Kit Cheng,none,,Reparto,None
James Hok Tsun Cheng,none,Copenhagen Cowboy,Reparto,None
Peter Andreas Dam,none,"""Kajs fødselsdag"", Mørklægning",Reparto,None
Victoria Olsen,none,"The Meal, Elvira","Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Marianne Schmidt,none,Polybius,Reparto,None
Karthikeya,none,,Reparto,None
Sai Chandana,none,,Reparto,None
Vardhan,none,,Reparto,None
Vijaya,none,,Reparto,None
Caroline Aaron,1952,"Eduardo Manostijeras, Algo para recordar","Reparto,  Producción,  Equipos adicionales","Blockbuster Entertainment Awards, Screen Actors Guild Awards"
Bill Irwin,1950,"Interstellar, El Grinch","Reparto,  Guion,  Banda sonora","Critics Choice Awards, Chicago Film Critics Association Awards"
Catherine Kennedy,none,4th Dementia,"Reparto,  Diseño de vestuario",None
Ally Condrath,none,"4th Dementia, We Remember","Reparto,  Guion,  Producción",None
Jake Mann,none,"Quality Time, Red Dead Redemption II","Reparto,  Guion,  Producción",None
Bo Hong Fu,none,"Drama Boy, Dating Beyond Borders","Reparto,  Music Artist",Athens International Monthly Art Film Festival
Tristen Huang,none,"3 SIMS to LOVE, Petra PI",Reparto,None
Annie Le,none,Across Rivers and Lakes,Reparto,None
Grace Gao,none,"Outside the Box, Depress-run",Reparto,None
Diana Meierhans,none,"El amor es un crimen perfecto, Mondocane","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Casting",None
Gianluca Di Santo,none,Toi sans Moi,"Reparto,  Cámara y electricidad",None
Melodie Baigun,none,"""Kallys Mashup"", Passage",Reparto,The EVVY Awards
Melodie Begun,none,,Reparto,None
Isabella Fell,none,"Unstoppable, Legend of El Cucuy",Reparto,None
Armando Ortuño,2000,"Catrina, Back to Bridgewood","Reparto,  Music Artist",None
Sikandar Agarwal,none,"Tera Kya Hoga Johnny, Naam Kya Hai?",Reparto,None
Sandeep Kumar,none,,Reparto,None
Rahaao,none,"Thuppakki, Shershaah","Reparto,  Casting,  Dirección de casting",None
Jayantika Sengupta,none,"Fishing Surmai, Mahabharat",Reparto,None
Vikas Tiwari,none,Zindagi Ek Kashmakash,Reparto,None
Kimberly Burris,none,,Reparto,None
John Backstrom,none,"Clout, Slapface","Reparto,  Dirección,  Guion",Spotlight Short Film Awards
Leah Chaney,none,"Clout, Nice Shoes","Reparto,  Producción,  Guion",None
Aimo Räsänen,none,"Lehmän vuosi, Tie Eedeniin","Reparto,  Banda sonora",None
Sampsa Hänninen,none,"Se on niin kuin se on, Nimettömät","Reparto,  Arte",None
Roope Leinonen,none,,Reparto,None
Samuli Niittymäki,none,"Seurapeli, Tripla","Reparto,  Guion y continuidad,  Guion","Jussi Awards, Mons International Festival of Love Films"
Lucas Amorim,1998,"Vocacelli, Razões","Reparto,  Guion,  Producción",None
Aline Jones,none,"Blindado, Happy Hour",Reparto,Gramado Film Festival
Iuri Saraiva,none,"Mindr, La princesa de la Yakuza",Reparto,"Brazilia Festival of Brazilian Cinema, Festival Curta Cabo Frio"
Guilherme Maia,none,True Self,Reparto,None
Victor Garbossa,none,,Reparto,None
Daniel Aguirre,none,,Reparto,None
Jaume Ibars,none,"Viaje de fin de curso, Nudes","Reparto,  Equipos adicionales,  Banda sonora",None
Álvaro Requena,none,"True Story España, Alfred García: Los Espabilados",Reparto,WorldFest Houston
Arnau Verdaguer,none,,Reparto,None
Laura Lopez,none,"Clika, Ofrenda",Reparto,None
Alejandra Ruiz,none,,Reparto,None
Inna Syzonenko,none,"La delgada línea azul, Tyranniet",Reparto,None
Anna-Maria Gullberg,none,"Västra Gymnasiet, Tyranniet",Reparto,None
Mikael Tryman,none,"Lapis, Tyranniet",Reparto,None
Margherita Coldesina,none,"Eine wen iig, dr Dällebach Kari, Le ultime cose",Reparto,None
Irene Provenzi,none,La Madre e la Fanciulla,Reparto,None
Gayatri Datar,none,"Tula Pahate Re, Betelgeuse",Reparto,None
Manu Malik,none,"The Legend of Bhagat Singh, Zameen",Reparto,None
Chitrapama Banerjee,none,"India Lockdown, Piyaa Albela",Reparto,None
Lalit Parashar,none,"Jab We Met, With Luv... Tumhaara",Reparto,None
Ankit Nayar,none,Betelgeuse,Reparto,None
Kristian Leonard,none,"Repercussions, Whistling Dixie",Reparto,None
Jaqueline Smith,none,"""Catching Historys Criminals: The Forensics Story""","Producción,  Reparto",None
Johnny Thirakul,none,"Welcome Home, Repercussions",Reparto,None
Bruno Jacques,none,,Reparto,None
Kasandra Newman,none,"I Have Something to Tell You, Meat and Potatoes","Reparto,  Equipos adicionales",None
Samantha Repay,none,,Reparto,None
Latimer MacPherson,none,"My Only Sister, Em Branco","Cámara y electricidad,  Reparto",None
Joaquin Salinas,none,,Reparto,None
Fady Eman,none,"Aserb: The Squadron, Never Ever","Reparto,  Guion,  Dirección",None
Hala Marzouk,none,"Naguib Zahi Zarkash, A Question Mark",Reparto,None
Susana Elena Boyce,none,"Bajo La Tierra, The First Cowboy",Reparto,None
Darius De La Cruz,none,"S.W.A.T.: Los hombres de Harrelson, Navy: Investigación criminal","Reparto,  Guion,  Producción",None
Ivette González,none,"Star Fox 64 3D, Whiteblood","Reparto,  Casting",None
Allyson Juliette,none,"Anatomía de Grey, Rockbottom",Reparto,None
Vanessa Lua,none,"The Last Ship, La Degolladora","Reparto,  Producción,  Dirección",None
Mildred Marie Langford,none,"Delilah, Chicago Med","Reparto,  Producción,  Guion",Circle City Film Festival
Kingston Zelaya,none,,Reparto,Young Artist Awards
Armi Toivanen,1980,"21 tapaa pilata avioliitto, Putous","Reparto,  Guion,  Banda sonora","Jussi Awards, Kultainen Venla"
Tiina Weckström,none,"Hella W, Vaarallista kokea","Reparto,  Banda sonora",Jussi Awards
Vesa Vierikko,1956,"Linna, La chica de la fábrica de cerillas","Reparto,  Guion,  Dirección","Jussi Awards, Venla Awards"
Sherwan Haji,none,"Fallen Leaves, Black Hearts","Reparto,  Banda sonora","Jussi Awards, Dublin International Film Festival"
David Kleinschuster,none,,"Reparto,  Guion",Couch Film Festival
Sophia Csulak,none,What A Coincidence,Reparto,Couch Film Festival
Merran Decker,none,What A Coincidence,"Reparto,  Guion,  Arte",Couch Film Festival
Nate Bryant,none,,Reparto,Couch Film Festival
