actor_name,birth_year,known_for,actor_role,actor_awards
Viggo Mortensen,1958,"Captain Fantastic, El señor de los anillos: Las dos torres","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Mahershala Ali,1974,"El canto del cisne, Green Book","Reparto,  Producción","Academy Awards, USA, BET Awards"
Linda Cardellini,1975,"Brokeback Mountain. En terreno vedado, Vengadores: La era de Ultrón","Reparto,  Producción,  Banda sonora","Primetime Emmy Awards, Satellite Awards"
Sebastian Maniscalco,1973,"Super Mario Bros.: La película, ¡Tú la llevas!","Producción,  Reparto,  Equipos adicionales","Telly Awards, Just for Laughs Comedy Festival"
Dimiter D. Marinov,1901,"Para toda la humanidad, Night Court","Reparto,  Guion",None
Frances McDormand,1957,"Fargo, Moonrise Kingdom","Reparto,  Producción,  Banda sonora","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Gay DeForest,1901,,Reparto,None
Patricia Grier,1901,,Reparto,None
Linda May,1901,The 93rd Oscars,Reparto,"North Texas Film Critics Association, US"
Angela Reyes,1901,,Reparto,None
