actor_name,birth_year,known_for,actor_role,actor_awards
Brandon Hickman,0,"Frat Brothers, ""Crows Harvest""",Reparto,0
Bei'er Bao,1984,"Da ren wu, Zhi wo men zhong jiang shi qu de qing chun","Reparto,  Dirección,  Guion","Golden Rooster Awards, Hundred Flowers Awards"
Yuan Chang,0,"Fei cheng wu rao 3, Du xing yue qiu","Reparto,  Dirección,  Guion",0
Bing Jia,0,"Sou jiu, Bei er xi huan ni",Reparto,Macau International Movie Festival
Songqing Liang,0,"Wo de yi han he ni you guan, Dong wu yuan li you shen me?",Reparto,0
Binlong Pan,0,"Di er shi tiao, Tang ren jie tan an",Reparto,"Macau International Movie Festival, China Movie Channel Award"
Ammy Virk,1992,"83, Bambukat","Music Artist,  Reparto,  Música","Mirchi Music Awards, IN, Screen Awards, IN"
Sonam Bajwa,1989,"Nikka Zaildar 2, Manje Bistre",Reparto,"PTC Punjabi Film Awards, Filmfare Awards Punjabi"
Ajay Hooda,0,"Kudi Haryane Val Di, Waris","Reparto,  Cámara y electricidad",0
Yograj Singh,1958,"Vichhora, Yaar Maar","Reparto,  Dirección,  Guion",0
Yashpal Sharma,1967,"Neeli Chatri Waale, Gangs of Wasseypur","Reparto,  Producción,  Dirección","Filmfare Awards, Awards of the International Indian Film Academy"
Brandon Bell,0,0,Reparto,0
Raniqua English,0,"Swept, Innocent Shots",Reparto,0
De'Andrae Freeman,0,"Innocent Shots, Clout",Reparto,0
DeAndre Grafton,0,"Out of Bounds, The Red State",Reparto,0
DeAndre Grafton,0,Dues Paid,Reparto,0
Brandon Bell,0,"The Connected, The Connected 2","Reparto,  Guion,  Producción",0
Maurandis Berger,0,"The Closest Ones, White Boy Rick","Reparto,  Guion,  Dirección",0
Danielle Burcham,0,"Joy Lane, The Possessed",Reparto,0
July Dreaming,0,0,Reparto,0
Kevin Gamble,0,0,Reparto,0
Natalie Cline,0,"The Future Soul, Lone Star Bull",Reparto,"Conocido/a por, Más de esta persona"
James Baldwin,0,"Migrants, Success Camp","Reparto,  Producción,  Sonido",0
Michael Carter,0,"What Goes Around Comes Around, Eddie and Willie","Reparto,  Dirección,  Guion",0
Jaron Wallace,0,"Threshold, The Ride","Reparto,  Dirección de fotografía y cámara,  Edición",Spotlight International Film Festival
Darcy Stinnette,0,"The Future Soul, SoulHood Saga: Part 1","Reparto,  Guion,  Choreographer",0
Nisrin Erradi,1989,"Prendre le large, Jahilya",Reparto,"Lumiere Awards, France, Durban International Film Festival"
Joud Chamihy,0,0,Reparto,0
Jalila Talemsi,0,"Monsters, Midnattssol",Reparto,0
Lahcen Razzougui,0,"Coline, Zim and Co.",Reparto,0
El Moustafa Boutankite,0,0,Reparto,0
Josiah Bennetone,0,"A Christmas Proposal, Kingdom Men",Reparto,0
Robert Covington,0,"Blackout, The Love App","Reparto,  Especialistas",0
Nelson J. Davis,0,"Braden, TheSexSymbol87","Reparto,  Producción,  Dirección","Direct Monthly Online Film Festival, Direct Short Online Film Festival"
Ricki Nelson,0,"Bunny & Clive, The Christmas Spirit",Reparto,0
Alexis K. Owens,0,"Protégé, Bunny & Clive","Reparto,  Dirección de fotografía y cámara",Independent Shorts Awards
Debbie Bazza,0,"Bottom Feeder, Pugumentary",Reparto,0
Troy Cannonier,0,Body Count,Reparto,0
Julius Carr,0,"Juicy the series, Bishop & Chainey",Reparto,0
Tyler Christian,0,0,Reparto,0
Tyler Christian,0,"""Shes Broken - The Raven"", The Zorchavis",Reparto,0
Wasabi Mizuta,0,"Doraemon y el reino perruno, Doraemon y el pequeño dinosaurio","Reparto,  Banda sonora",0
Megumi Ôhara,0,"Doraemon y los siete magos, Stand By Me Doraemon","Reparto,  Banda sonora",0
Yumi Kakazu,1973,"El alquimista de acero, Fullmetal Alchemist: La película - El conquistador de Shamballa","Reparto,  Música,  Banda sonora",0
Subaru Kimura,0,"Uchû Sentai Kyurenjâ Henshin Kôza Kimi mo Issho no Sutâ Chenji!, Gekijôban Dôbutsu Sentai Jûôjâ Tai Ninninjâ Mirai kara no Messêji Furomu Sûpâ Sentai","Reparto,  Banda sonora",0
Tomokazu Seki,1972,"Kamen Raidâ × Supâ Sentai: Supâ Hîrô Taisen, Evangelion 1.01 You are","Reparto,  Equipos adicionales,  Banda sonora",Anime Trending Awards
Steve Guynn,0,"Saucer Sex Peep Show, The Zombie Movie","Reparto,  Producción,  Guion",0
Adam Drury,0,Tyrannosaurus Kincaid,"Composición,  Reparto,  Sonido",0
Jamie Adkins,0,Hermes,"Reparto,  Composición",0
