,type,name,release_year,release_month,id_imdb,genre
372,Movie,Extraordinary Sacrifice,2023,,tt11601444,Action
373,Movie,Gold Rush,2023,,tt11705740,Action
374,Movie,Untitled Project Valentina Sequel,2023,,tt11872772,Action
375,Movie,Bugsy the Becoming,2023,8,tt11972054,Action
376,Movie,Varisu,2023,1,tt11998558,Action
377,Movie,65,2023,3,tt12261776,Action
378,Movie,Extraction II,2023,6,tt12263384,Action
379,Movie,Eímai o Theós,2023,3,tt12283024,Action
380,Movie,Getting to the Plug,2023,2,tt12422694,Action
381,Movie,Les Trois Mousquetaires - Milady,2023,12,tt12672620,Action
382,Movie,The Three Musketeers - Part I: D'Artagnan,2023,4,tt12672536,Action
383,Movie,The Caller,2023,,tt12902374,Action
384,Movie,Adipurush,2023,6,tt12915716,Action
385,Movie,Operation Fortune,2023,1,tt7985704,Action
386,Movie,Shehzada,2023,4,tt13130948,Action
387,Movie,Mission Majnu,2023,1,tt13131232,Action
388,Movie,Bholaa Shankar,2023,8,tt13131610,Action
389,Movie,Ground Zero,2023,6,tt13186618,Action
390,Movie,Little Dixie,2023,2,tt13614388,Action
391,Movie,Choppa City Queens,2023,5,tt13640794,Action
392,Movie,Arbitrium: The Final Days,2023,,tt13681698,Action
393,Movie,Animal,2023,12,tt13751694,Action
394,Movie,Fast & Furious X,2023,5,tt5433140,Action
395,Movie,The Assassin Unleashed,2023,12,tt13808564,Action
396,Movie,Spider-Man: Lotus,2023,8,tt13904644,Action
397,Movie,Bratri,2023,10,tt14232442,Action
398,Movie,Shin Kamen Rider,2023,3,tt14379088,Action
399,Movie,Aagun Pakhi: The Midnight Club Chronicles,2023,11,tt14384196,Action
400,Movie,Gunfight at Rio Bravo,2023,1,tt14388612,Action
401,Movie,Indiana Jones and the Dial of Destiny,2023,6,tt1462764,Action
402,Movie,SoulHood Saga II: The Finale,2023,5,tt14681272,Action
403,Movie,Burning Love,2023,11,tt14709996,Action
404,Movie,Untitled Marvel Disney (June 2023),2023,6,tt14743384,Action
405,Movie,John Burrows,2023,3,tt15056712,Action
406,Movie,Fast & Furious: A Fan-Film,2023,8,tt15145972,Action
407,Movie,Jade Brooks Must Die!,2023,6,tt15179658,Action
408,Movie,Hadik,2023,3,tt15299406,Action
409,Movie,Rudhran,2023,4,tt15303192,Action
410,Movie,Ride On,2023,4,tt15430628,Action
411,Movie,Spider-Man: Bad Reputation,2023,11,tt15477560,Action
412,Movie,The Obstacle,2023,4,tt15614148,Action
413,Movie,Return of the Dark,2023,7,tt15673502,Action
414,Movie,Dungeons & Dragons: Ehre unter Dieben,2023,3,tt2906216,Action
415,Movie,The Last Deal,2023,2,tt3326138,Action
416,Movie,129,2023,3,tt3566610,Action
417,Movie,Out for Vengeance,2023,9,tt4303846,Action
418,Movie,Transformers: Rise of the Beasts,2023,6,tt5090568,Action
419,Movie,Taeter Burger,2023,10,tt5776252,Action
420,Movie,Migration,2023,12,tt6495056,Action
421,Movie,Mercy & Compassion,2023,3,tt16793230,Action
422,Movie,Aquaman a ztracené království,2023,12,tt9663764,Action
